Company_Name,Stock_Code,Day,WeekDay,Week,Month,Month_Name,Quarter,Opening_Value,Highest_Value,Lowest_Value,Closing_Value,Volume,Daily_Closing_Variation,Year
Tesla,TSLA,2024-02-26,Monday,9,2,February,1,192.29,201.78,192.0,199.4,111747116,3.870396416106687,2024
Tesla,TSLA,2024-02-23,Friday,8,2,February,1,195.31,197.57,191.5,191.97,78841917,-2.7556861354541295,2024
Tesla,TSLA,2024-02-22,Thursday,8,2,February,1,194.0,198.32,191.36,197.41,92739461,1.355444883708983,2024
Tesla,TSLA,2024-02-21,Wednesday,8,2,February,1,193.36,199.44,191.95,194.77,103844008,0.5212634186622725,2024
Tesla,TSLA,2024-02-20,Tuesday,8,2,February,1,196.13,198.6,189.13,193.76,104545762,-3.0957739434858706,2024
Tesla,TSLA,2024-02-16,Friday,7,2,February,1,202.06,203.17,197.4,199.95,111346705,-0.2494387627837366,2024
Tesla,TSLA,2024-02-15,Thursday,7,2,February,1,189.16,200.88,188.8595,200.45,120831762,6.221185946690679,2024
Tesla,TSLA,2024-02-14,Wednesday,7,2,February,1,185.3,188.89,183.35,188.71,81202987,2.548636017824148,2024
Tesla,TSLA,2024-02-13,Tuesday,7,2,February,1,183.99,187.26,182.1087,184.02,86759478,-2.184659543932379,2024
Tesla,TSLA,2024-02-12,Monday,7,2,February,1,192.11,194.73,187.28,188.13,95498597,-2.8103528439324266,2024
Tesla,TSLA,2024-02-09,Friday,6,2,February,1,190.18,194.12,189.48,193.57,84476347,2.1154251951888536,2024
Tesla,TSLA,2024-02-08,Thursday,6,2,February,1,189.0,191.6171,185.58,189.56,83034043,1.0555496321569409,2024
Tesla,TSLA,2024-02-07,Wednesday,6,2,February,1,188.18,189.79,182.68,187.58,111535217,1.3398163155051424,2024
Tesla,TSLA,2024-02-06,Tuesday,6,2,February,1,177.21,186.49,177.11,185.1,122675954,2.23130453993151,2024
Tesla,TSLA,2024-02-05,Monday,6,2,February,1,184.26,184.68,175.01,181.06,134294447,-3.645362141450691,2024
Tesla,TSLA,2024-02-02,Friday,5,2,February,1,185.04,188.69,182.0,187.91,110612672,-0.5030181086519205,2024
Tesla,TSLA,2024-02-01,Thursday,5,2,February,1,188.5,189.88,184.28,188.86,91843275,0.8382721981953236,2024
Tesla,TSLA,2024-01-31,Wednesday,5,1,January,1,186.995,193.97,185.8459,187.29,103221430,-2.2443760112740807,2024
Tesla,TSLA,2024-01-30,Tuesday,5,1,January,1,195.33,196.3593,190.61,191.59,109982327,0.3456764259152551,2024
Tesla,TSLA,2024-01-29,Monday,5,1,January,1,185.63,191.48,183.67,190.93,125013148,4.190995907230563,2024
Tesla,TSLA,2024-01-26,Friday,4,1,January,1,185.5,186.78,182.1,183.25,107343231,0.3394842030334581,2024
Tesla,TSLA,2024-01-25,Thursday,4,1,January,1,189.7,193.0,180.06,182.63,198076787,-12.125294712024258,2024
